,points,50
0,4,0.0
1,5,0.0
2,6,0.0
3,7,0.0
4,8,0.0
5,9,0.000997304916381836
6,10,0.0039882659912109375
7,11,0.007978439331054688
8,12,0.06594038009643555
9,13,0.16893243789672852
10,14,2.864043951034546
11,15,12.846204996109009
12,16,41.6921124458313
13,17,253.68913912773132
14,18,1874.578993320465
