,points,30,70
0,10,7.143361227852957e-05,0.0001429046903337751
1,11,0.00013605526515415736,0.00011432511465890067
2,12,0.00027355125972202847,0.0014574425561087471
3,13,0.0006715774536132813,0.0007826839174543108
4,14,0.0018718923841203963,0.005244803428649902
5,15,0.0046759401048932754,0.018429177148001536
6,16,0.010466531344822476,0.007986348015921456
7,17,0.019776623589651925,0.008061654227120536
8,18,0.06405132498059954,0.00041685444968087335
9,19,0.14487979412078858,0.0006094012941632952
10,20,0.7132201671600342,0.00042866298130580355
11,21,3.849424007960728,0.06321425778525216
12,22,8.972954228946142,0.7020174980163574
13,23,32.63962848527091,0.005636191368103028
14,24,257.5361234698977,0.02201925686427525
