,points,time
0,100,0.2819110631942749
1,125,0.35928892294565834
2,150,0.43523286978403725
3,175,0.5064469814300537
4,200,0.5761881907780965
5,225,0.6476963758468628
6,250,0.7223095893859863
7,275,0.7936796188354492
8,300,0.8760649522145589
9,325,0.9509819587071736
10,350,1.0274000803629557
11,375,1.099632438023885
12,400,1.1750660339991252
13,425,1.2611918846766155
14,450,1.3157155593236287
15,475,1.3897414763768514
16,500,1.4791500250498453
17,525,1.5583067814509073
18,550,1.6604464133580525
19,575,1.7290736198425294
